1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1-
1,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,1-
1,7,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1-
1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1-
1,5,1,5,1,5,1,5,1,1,5,1,1,1,5,1,1,5,1,5,1,5,1,5,1-
1,5,5,5,1,5,1,5,5,5,5,5,2,5,5,5,5,5,1,5,1,5,5,5,1-
1,1,1,5,1,5,1,5,1,1,1,5,1,5,1,1,1,5,1,5,1,5,1,1,1-
1,5,5,5,1,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,1,5,5,5,1-
1,5,1,5,5,5,5,5,1,5,1,5,1,5,1,5,1,5,5,5,5,5,1,5,1-
1,5,1,5,1,1,1,5,1,5,1,5,5,5,1,5,1,5,1,1,1,5,1,5,1-
1,5,1,5,5,5,1,5,1,5,1,1,1,1,1,5,1,5,5,5,5,5,1,5,1-
1,5,1,1,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,1,1,5,1-
1,5,5,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,5,5,1-
1,1,1,1,1,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,1,1,1,1,1-
1,5,5,5,5,5,1,1,5,1,1,5,1,1,1,1,5,1,1,5,5,5,5,5,1-
1,5,1,1,1,1,1,1,5,1,5,5,5,7,6,1,5,1,1,1,1,1,1,5,1-
1,5,1,1,1,1,1,1,5,1,3,1,3,1,7,1,5,1,1,1,1,1,1,5,1-
1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1-
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1-
#
